NAME,RAM,MEMORY,PIN,PRICE
Samsung Galaxy A01 Core,1,16,3000,1850000
Samsung Galaxy A11,3,32,4000,2650000
Samsung Galaxy A02s,4,64,5000,3350000
Samsung Galaxy J7 Prime,3,32,3300,3790000
Samsung Galaxy A21s,3,32,5000,4250000
Samsung Galaxy A22 4G,6,128,5000,4700000
Samsung Galaxy A30s,4,64,4000,4150000
Samsung Galaxy A31,6,128,5000,5150000
Samsung Galaxy A52,8,128,4500,6600600
Samsung Galaxy A72,8,256,5000,10100000
Samsung Galaxy Note 10 Lite,8,128,4500,10500000
Samsung Galaxy S10+,8,128,4100,12400000
Samsung Galaxy S21 FE 5G,8,256,4500,13650000
Samsung Galaxy S21 FE,8,128,4500,12790000
Samsung Galaxy S20+,8,128,4500,15500000
Samsung Galaxy S20 Ultra,12,128,5000,16000000
Samsung Galaxy Note 20 Ultra,12,256,4500,18990000
Samsung Galaxy Z Flip3 5G,8,256,3300,19350000
Samsung Galaxy Z Flip,8,256,3300,20990000
Samsung Galaxy S21 Plus 5G,8,256,4800,23000000
Samsung Galaxy Z Fold2,12,256,4500,23000000
Samsung Galaxy S21 Ultra 5G,12,256,5000,29800000
Samsung Galaxy S22 Ultra,12,512,5000,29990000
Samsung Galaxy Z Fold3,12,512,4400,33990000